"","V2","V2.1","weight"
"242","Veratrum.tenuipetalum","Gayophytum.diffusum",0
"243","Achillea.millefolium","Geranium.richardsonii",0.357
"244","Agoseris.aurantiaca","Geranium.richardsonii",0.376
"245","Androsace.septentrionalis","Geranium.richardsonii",0.0118
"246","Artemisia.tridentata","Geranium.richardsonii",0
"247","Chrysothamnus.viscidiflorus","Geranium.richardsonii",0.0235
"248","Cirsium.arvense","Geranium.richardsonii",0
"249","Collomia.linearis","Geranium.richardsonii",0.568
"250","Delphinium.nelsonii","Geranium.richardsonii",0
"251","Erigeron.speciosus","Geranium.richardsonii",0.32
"252","Eriogonum.umbellatum","Geranium.richardsonii",0.538
"253","Gayophytum.diffusum","Geranium.richardsonii",0.0176
"254","Geranium.richardsonii","Geranium.richardsonii",0
"255","Lathyrus.leucanthus","Geranium.richardsonii",0.118
"256","Linaria.vulgaris","Geranium.richardsonii",0.0235
"257","Lupinus.bakeri","Geranium.richardsonii",0.375
"258","Madia.glomerata","Geranium.richardsonii",0
"259","Potentilla.fruticosa","Geranium.richardsonii",0.526
"260","Potentilla.gracilis","Geranium.richardsonii",0.643
"261","Ranunculus.inamoenus","Geranium.richardsonii",0.0588
"262","Taraxacum.officinales","Geranium.richardsonii",0.0118
"263","Valeriana.occidentalis","Geranium.richardsonii",0
"264","Veratrum.tenuipetalum","Geranium.richardsonii",0.124
"265","Achillea.millefolium","Lathyrus.leucanthus",0
"266","Agoseris.aurantiaca","Lathyrus.leucanthus",0
"267","Androsace.septentrionalis","Lathyrus.leucanthus",0.444
"268","Artemisia.tridentata","Lathyrus.leucanthus",0
"269","Chrysothamnus.viscidiflorus","Lathyrus.leucanthus",0
"270","Cirsium.arvense","Lathyrus.leucanthus",0
"271","Collomia.linearis","Lathyrus.leucanthus",0.184
"272","Delphinium.nelsonii","Lathyrus.leucanthus",0
"273","Erigeron.speciosus","Lathyrus.leucanthus",0
"274","Eriogonum.umbellatum","Lathyrus.leucanthus",0.463
"275","Gayophytum.diffusum","Lathyrus.leucanthus",0
"276","Geranium.richardsonii","Lathyrus.leucanthus",0.118
"277","Lathyrus.leucanthus","Lathyrus.leucanthus",0
"278","Linaria.vulgaris","Lathyrus.leucanthus",0
"279","Lupinus.bakeri","Lathyrus.leucanthus",0.587
"280","Madia.glomerata","Lathyrus.leucanthus",0
"281","Potentilla.fruticosa","Lathyrus.leucanthus",0.064
"282","Potentilla.gracilis","Lathyrus.leucanthus",0.159
"283","Ranunculus.inamoenus","Lathyrus.leucanthus",0
"284","Taraxacum.officinales","Lathyrus.leucanthus",0.444
"285","Valeriana.occidentalis","Lathyrus.leucanthus",0
"286","Veratrum.tenuipetalum","Lathyrus.leucanthus",0
"287","Achillea.millefolium","Linaria.vulgaris",0.333
"288","Agoseris.aurantiaca","Linaria.vulgaris",0
"289","Androsace.septentrionalis","Linaria.vulgaris",0
"290","Artemisia.tridentata","Linaria.vulgaris",0
"291","Chrysothamnus.viscidiflorus","Linaria.vulgaris",0.357
"292","Cirsium.arvense","Linaria.vulgaris",0
"293","Collomia.linearis","Linaria.vulgaris",0
"294","Delphinium.nelsonii","Linaria.vulgaris",0
"295","Erigeron.speciosus","Linaria.vulgaris",0.0628
"296","Eriogonum.umbellatum","Linaria.vulgaris",0
"297","Gayophytum.diffusum","Linaria.vulgaris",0
"298","Geranium.richardsonii","Linaria.vulgaris",0.0235
"299","Lathyrus.leucanthus","Linaria.vulgaris",0
"300","Linaria.vulgaris","Linaria.vulgaris",0
"301","Lupinus.bakeri","Linaria.vulgaris",0
"302","Madia.glomerata","Linaria.vulgaris",0
"303","Potentilla.fruticosa","Linaria.vulgaris",0.118
"304","Potentilla.gracilis","Linaria.vulgaris",0
"305","Ranunculus.inamoenus","Linaria.vulgaris",0
"306","Taraxacum.officinales","Linaria.vulgaris",0
"307","Valeriana.occidentalis","Linaria.vulgaris",0
"308","Veratrum.tenuipetalum","Linaria.vulgaris",0
"309","Achillea.millefolium","Lupinus.bakeri",0.0857
"310","Agoseris.aurantiaca","Lupinus.bakeri",0.0857
"311","Androsace.septentrionalis","Lupinus.bakeri",0.6
"312","Artemisia.tridentata","Lupinus.bakeri",0
"313","Chrysothamnus.viscidiflorus","Lupinus.bakeri",0
"314","Cirsium.arvense","Lupinus.bakeri",0
"315","Collomia.linearis","Lupinus.bakeri",0.391
"316","Delphinium.nelsonii","Lupinus.bakeri",0
"317","Erigeron.speciosus","Lupinus.bakeri",0.0899
"318","Eriogonum.umbellatum","Lupinus.bakeri",0.276
"319","Gayophytum.diffusum","Lupinus.bakeri",0
"320","Geranium.richardsonii","Lupinus.bakeri",0.375
"321","Lathyrus.leucanthus","Lupinus.bakeri",0.587
"322","Linaria.vulgaris","Lupinus.bakeri",0
"323","Lupinus.bakeri","Lupinus.bakeri",0
"324","Madia.glomerata","Lupinus.bakeri",0
"325","Potentilla.fruticosa","Lupinus.bakeri",0.282
"326","Potentilla.gracilis","Lupinus.bakeri",0.371
"327","Ranunculus.inamoenus","Lupinus.bakeri",0.0286
"328","Taraxacum.officinales","Lupinus.bakeri",0.583
"329","Valeriana.occidentalis","Lupinus.bakeri",0
"330","Veratrum.tenuipetalum","Lupinus.bakeri",0
"331","Achillea.millefolium","Madia.glomerata",0.333
"332","Agoseris.aurantiaca","Madia.glomerata",0
"333","Androsace.septentrionalis","Madia.glomerata",0
"334","Artemisia.tridentata","Madia.glomerata",1
"335","Chrysothamnus.viscidiflorus","Madia.glomerata",0.643
"336","Cirsium.arvense","Madia.glomerata",1
"337","Collomia.linearis","Madia.glomerata",0.00368
"338","Delphinium.nelsonii","Madia.glomerata",0
"339","Erigeron.speciosus","Madia.glomerata",0.046
"340","Eriogonum.umbellatum","Madia.glomerata",0
"341","Gayophytum.diffusum","Madia.glomerata",0
"342","Geranium.richardsonii","Madia.glomerata",0
"343","Lathyrus.leucanthus","Madia.glomerata",0
"344","Linaria.vulgaris","Madia.glomerata",0
"345","Lupinus.bakeri","Madia.glomerata",0
"346","Madia.glomerata","Madia.glomerata",0
"347","Potentilla.fruticosa","Madia.glomerata",0.182
"348","Potentilla.gracilis","Madia.glomerata",0
"349","Ranunculus.inamoenus","Madia.glomerata",0
"350","Taraxacum.officinales","Madia.glomerata",0
"351","Valeriana.occidentalis","Madia.glomerata",0
"352","Veratrum.tenuipetalum","Madia.glomerata",0
"353","Mertensia.ciliata","Mertensia.ciliata",0
"354","Achillea.millefolium","Potentilla.fruticosa",0.493
"355","Agoseris.aurantiaca","Potentilla.fruticosa",0.192
"356","Androsace.septentrionalis","Potentilla.fruticosa",0.0148
"357","Artemisia.tridentata","Potentilla.fruticosa",0.182
"358","Chrysothamnus.viscidiflorus","Potentilla.fruticosa",0.3
"359","Cirsium.arvense","Potentilla.fruticosa",0.182
"360","Collomia.linearis","Potentilla.fruticosa",0.337
"361","Delphinium.nelsonii","Potentilla.fruticosa",4.46e-14
"362","Erigeron.speciosus","Potentilla.fruticosa",0.559
"363","Eriogonum.umbellatum","Potentilla.fruticosa",0.297
"364","Gayophytum.diffusum","Potentilla.fruticosa",0.212
"365","Geranium.richardsonii","Potentilla.fruticosa",0.526
"366","Lathyrus.leucanthus","Potentilla.fruticosa",0.064
"367","Linaria.vulgaris","Potentilla.fruticosa",0.118
"368","Lupinus.bakeri","Potentilla.fruticosa",0.282
"369","Madia.glomerata","Potentilla.fruticosa",0.182
"370","Potentilla.fruticosa","Potentilla.fruticosa",0
"371","Potentilla.gracilis","Potentilla.fruticosa",0.373
"372","Ranunculus.inamoenus","Potentilla.fruticosa",0.0443
"373","Taraxacum.officinales","Potentilla.fruticosa",0.0148
"374","Valeriana.occidentalis","Potentilla.fruticosa",4.46e-14
"375","Veratrum.tenuipetalum","Potentilla.fruticosa",0.0837
"376","Achillea.millefolium","Potentilla.gracilis",0.114
"377","Agoseris.aurantiaca","Potentilla.gracilis",0.114
"378","Androsace.septentrionalis","Potentilla.gracilis",0
"379","Artemisia.tridentata","Potentilla.gracilis",0
"380","Chrysothamnus.viscidiflorus","Potentilla.gracilis",0
"381","Cirsium.arvense","Potentilla.gracilis",0
"382","Collomia.linearis","Potentilla.gracilis",0.693
"383","Delphinium.nelsonii","Potentilla.gracilis",0
"384","Erigeron.speciosus","Potentilla.gracilis",0.459
"385","Eriogonum.umbellatum","Potentilla.gracilis",0.291
"386","Gayophytum.diffusum","Potentilla.gracilis",0.0227
"387","Geranium.richardsonii","Potentilla.gracilis",0.643
"388","Lathyrus.leucanthus","Potentilla.gracilis",0.159
"389","Linaria.vulgaris","Potentilla.gracilis",0
"390","Lupinus.bakeri","Potentilla.gracilis",0.371
"391","Madia.glomerata","Potentilla.gracilis",0
"392","Potentilla.fruticosa","Potentilla.gracilis",0.373
"393","Potentilla.gracilis","Potentilla.gracilis",0
"394","Ranunculus.inamoenus","Potentilla.gracilis",0
"395","Taraxacum.officinales","Potentilla.gracilis",0
"396","Valeriana.occidentalis","Potentilla.gracilis",0
"397","Veratrum.tenuipetalum","Potentilla.gracilis",0.318
"398","Achillea.millefolium","Ranunculus.inamoenus",0
"399","Agoseris.aurantiaca","Ranunculus.inamoenus",0
"400","Androsace.septentrionalis","Ranunculus.inamoenus",0
"401","Artemisia.tridentata","Ranunculus.inamoenus",0
"402","Chrysothamnus.viscidiflorus","Ranunculus.inamoenus",0
"403","Cirsium.arvense","Ranunculus.inamoenus",0
"404","Collomia.linearis","Ranunculus.inamoenus",0.0331
"405","Delphinium.nelsonii","Ranunculus.inamoenus",0.714
"406","Erigeron.speciosus","Ranunculus.inamoenus",0
"407","Eriogonum.umbellatum","Ranunculus.inamoenus",0.037
"408","Gayophytum.diffusum","Ranunculus.inamoenus",0
"409","Geranium.richardsonii","Ranunculus.inamoenus",0.0588
"410","Lathyrus.leucanthus","Ranunculus.inamoenus",0
"411","Linaria.vulgaris","Ranunculus.inamoenus",0
"412","Lupinus.bakeri","Ranunculus.inamoenus",0.0286
"413","Madia.glomerata","Ranunculus.inamoenus",0
"414","Potentilla.fruticosa","Ranunculus.inamoenus",0.0443
"415","Potentilla.gracilis","Ranunculus.inamoenus",0
"416","Ranunculus.inamoenus","Ranunculus.inamoenus",0
"417","Taraxacum.officinales","Ranunculus.inamoenus",0.417
"418","Valeriana.occidentalis","Ranunculus.inamoenus",0.714
"419","Veratrum.tenuipetalum","Ranunculus.inamoenus",0
"420","Achillea.millefolium","Taraxacum.officinales",0
"421","Agoseris.aurantiaca","Taraxacum.officinales",0
"422","Androsace.septentrionalis","Taraxacum.officinales",0.583
"423","Artemisia.tridentata","Taraxacum.officinales",0
"424","Chrysothamnus.viscidiflorus","Taraxacum.officinales",0
"425","Cirsium.arvense","Taraxacum.officinales",0
"426","Collomia.linearis","Taraxacum.officinales",0
"427","Delphinium.nelsonii","Taraxacum.officinales",0.417
"428","Erigeron.speciosus","Taraxacum.officinales",0
"429","Eriogonum.umbellatum","Taraxacum.officinales",0
"430","Gayophytum.diffusum","Taraxacum.officinales",0
"431","Geranium.richardsonii","Taraxacum.officinales",0.0118
"432","Lathyrus.leucanthus","Taraxacum.officinales",0.444
"433","Linaria.vulgaris","Taraxacum.officinales",0
"434","Lupinus.bakeri","Taraxacum.officinales",0.583
"435","Madia.glomerata","Taraxacum.officinales",0
"436","Potentilla.fruticosa","Taraxacum.officinales",0.0148
"437","Potentilla.gracilis","Taraxacum.officinales",0
"438","Ranunculus.inamoenus","Taraxacum.officinales",0.417
"439","Taraxacum.officinales","Taraxacum.officinales",0
"440","Valeriana.occidentalis","Taraxacum.officinales",0.417
"441","Veratrum.tenuipetalum","Taraxacum.officinales",0
"442","Achillea.millefolium","Valeriana.occidentalis",0
"443","Agoseris.aurantiaca","Valeriana.occidentalis",0
"444","Androsace.septentrionalis","Valeriana.occidentalis",0
"445","Artemisia.tridentata","Valeriana.occidentalis",0
"446","Chrysothamnus.viscidiflorus","Valeriana.occidentalis",0
"447","Cirsium.arvense","Valeriana.occidentalis",0
"448","Collomia.linearis","Valeriana.occidentalis",0
"449","Delphinium.nelsonii","Valeriana.occidentalis",1
"450","Erigeron.speciosus","Valeriana.occidentalis",0
"451","Eriogonum.umbellatum","Valeriana.occidentalis",0
"452","Gayophytum.diffusum","Valeriana.occidentalis",0
"453","Geranium.richardsonii","Valeriana.occidentalis",0
"454","Lathyrus.leucanthus","Valeriana.occidentalis",0
"455","Linaria.vulgaris","Valeriana.occidentalis",0
"456","Lupinus.bakeri","Valeriana.occidentalis",0
"457","Madia.glomerata","Valeriana.occidentalis",0
"458","Potentilla.fruticosa","Valeriana.occidentalis",4.46e-14
"459","Potentilla.gracilis","Valeriana.occidentalis",0
"460","Ranunculus.inamoenus","Valeriana.occidentalis",0.714
"461","Taraxacum.officinales","Valeriana.occidentalis",0.417
"462","Valeriana.occidentalis","Valeriana.occidentalis",0
"463","Veratrum.tenuipetalum","Valeriana.occidentalis",0
"464","Achillea.millefolium","Veratrum.tenuipetalum",0
"465","Agoseris.aurantiaca","Veratrum.tenuipetalum",0
"466","Androsace.septentrionalis","Veratrum.tenuipetalum",0
"467","Artemisia.tridentata","Veratrum.tenuipetalum",0
"468","Chrysothamnus.viscidiflorus","Veratrum.tenuipetalum",0
"469","Cirsium.arvense","Veratrum.tenuipetalum",0
"470","Collomia.linearis","Veratrum.tenuipetalum",0.0699
"471","Delphinium.nelsonii","Veratrum.tenuipetalum",0
"472","Erigeron.speciosus","Veratrum.tenuipetalum",0.343
"473","Eriogonum.umbellatum","Veratrum.tenuipetalum",0
"474","Gayophytum.diffusum","Veratrum.tenuipetalum",0
"475","Geranium.richardsonii","Veratrum.tenuipetalum",0.124
"476","Lathyrus.leucanthus","Veratrum.tenuipetalum",0
"477","Linaria.vulgaris","Veratrum.tenuipetalum",0
"478","Lupinus.bakeri","Veratrum.tenuipetalum",0
"479","Madia.glomerata","Veratrum.tenuipetalum",0
"480","Potentilla.fruticosa","Veratrum.tenuipetalum",0.0837
"481","Potentilla.gracilis","Veratrum.tenuipetalum",0.318
"482","Ranunculus.inamoenus","Veratrum.tenuipetalum",0
"483","Taraxacum.officinales","Veratrum.tenuipetalum",0
"484","Valeriana.occidentalis","Veratrum.tenuipetalum",0
"485","Veratrum.tenuipetalum","Veratrum.tenuipetalum",0
