"","species1","species2","SI"
"1","Achillea.millefolium","Achillea.millefolium"," 0.000000e+00"
"2","Agoseris.aurantiaca","Achillea.millefolium"," 3.333333e-01"
"3","Androsace.septentrionalis","Achillea.millefolium"," 1.110223e-16"
"4","Artemisia.tridentata","Achillea.millefolium"," 3.333333e-01"
"5","Chrysothamnus.viscidiflorus","Achillea.millefolium"," 6.666667e-01"
"6","Cirsium.arvense","Achillea.millefolium"," 3.333333e-01"
"7","Collomia.linearis","Achillea.millefolium"," 8.088235e-02"
"8","Delphinium.nelsonii","Achillea.millefolium"," 1.110223e-16"
"9","Erigeron.speciosus","Achillea.millefolium"," 2.594142e-01"
"10","Eriogonum.umbellatum","Achillea.millefolium"," 3.333333e-01"
"11","Gayophytum.diffusum","Achillea.millefolium"," 1.110223e-16"
"12","Geranium.richardsonii","Achillea.millefolium"," 3.568627e-01"
"13","Lathyrus.leucanthus","Achillea.millefolium"," 1.110223e-16"
"14","Linaria.vulgaris","Achillea.millefolium"," 3.333333e-01"
"15","Lupinus.bakeri","Achillea.millefolium"," 8.571429e-02"
"16","Madia.glomerata","Achillea.millefolium"," 3.333333e-01"
"17","Mertensia.ciliata","Achillea.millefolium",NA
"18","Potentilla.fruticosa","Achillea.millefolium"," 4.926108e-01"
"19","Potentilla.gracilis","Achillea.millefolium"," 1.136364e-01"
"20","Ranunculus.inamoenus","Achillea.millefolium"," 1.110223e-16"
"21","Taraxacum.officinales","Achillea.millefolium"," 1.110223e-16"
"22","Valeriana.occidentalis","Achillea.millefolium"," 1.110223e-16"
"23","Veratrum.tenuipetalum","Achillea.millefolium"," 1.110223e-16"
"24","Achillea.millefolium","Agoseris.aurantiaca"," 3.333333e-01"
"25","Agoseris.aurantiaca","Agoseris.aurantiaca"," 0.000000e+00"
"26","Androsace.septentrionalis","Agoseris.aurantiaca"," 0.000000e+00"
"27","Artemisia.tridentata","Agoseris.aurantiaca"," 0.000000e+00"
"28","Chrysothamnus.viscidiflorus","Agoseris.aurantiaca"," 0.000000e+00"
"29","Cirsium.arvense","Agoseris.aurantiaca"," 0.000000e+00"
"30","Collomia.linearis","Agoseris.aurantiaca"," 7.720588e-02"
"31","Delphinium.nelsonii","Agoseris.aurantiaca"," 0.000000e+00"
"32","Erigeron.speciosus","Agoseris.aurantiaca"," 1.506276e-01"
"33","Eriogonum.umbellatum","Agoseris.aurantiaca"," 4.814815e-01"
"34","Gayophytum.diffusum","Agoseris.aurantiaca"," 0.000000e+00"
"35","Geranium.richardsonii","Agoseris.aurantiaca"," 3.764706e-01"
"36","Lathyrus.leucanthus","Agoseris.aurantiaca"," 0.000000e+00"
"37","Linaria.vulgaris","Agoseris.aurantiaca"," 0.000000e+00"
"38","Lupinus.bakeri","Agoseris.aurantiaca"," 8.571429e-02"
"39","Madia.glomerata","Agoseris.aurantiaca"," 0.000000e+00"
"40","Mertensia.ciliata","Agoseris.aurantiaca",NA
"41","Potentilla.fruticosa","Agoseris.aurantiaca"," 1.921182e-01"
"42","Potentilla.gracilis","Agoseris.aurantiaca"," 1.136364e-01"
"43","Ranunculus.inamoenus","Agoseris.aurantiaca"," 0.000000e+00"
"44","Taraxacum.officinales","Agoseris.aurantiaca"," 0.000000e+00"
"45","Valeriana.occidentalis","Agoseris.aurantiaca"," 0.000000e+00"
"46","Veratrum.tenuipetalum","Agoseris.aurantiaca"," 0.000000e+00"
"47","Achillea.millefolium","Androsace.septentrionalis"," 1.110223e-16"
"48","Agoseris.aurantiaca","Androsace.septentrionalis"," 0.000000e+00"
"49","Androsace.septentrionalis","Androsace.septentrionalis"," 0.000000e+00"
"50","Artemisia.tridentata","Androsace.septentrionalis"," 0.000000e+00"
"51","Chrysothamnus.viscidiflorus","Androsace.septentrionalis"," 0.000000e+00"
"52","Cirsium.arvense","Androsace.septentrionalis"," 0.000000e+00"
"53","Collomia.linearis","Androsace.septentrionalis"," 0.000000e+00"
"54","Delphinium.nelsonii","Androsace.septentrionalis"," 0.000000e+00"
"55","Erigeron.speciosus","Androsace.septentrionalis"," 0.000000e+00"
"56","Eriogonum.umbellatum","Androsace.septentrionalis"," 0.000000e+00"
"57","Gayophytum.diffusum","Androsace.septentrionalis"," 0.000000e+00"
"58","Geranium.richardsonii","Androsace.septentrionalis"," 1.176471e-02"
"59","Lathyrus.leucanthus","Androsace.septentrionalis"," 4.444444e-01"
"60","Linaria.vulgaris","Androsace.septentrionalis"," 0.000000e+00"
"61","Lupinus.bakeri","Androsace.septentrionalis"," 6.000000e-01"
"62","Madia.glomerata","Androsace.septentrionalis"," 0.000000e+00"
"63","Mertensia.ciliata","Androsace.septentrionalis",NA
"64","Potentilla.fruticosa","Androsace.septentrionalis"," 1.477833e-02"
"65","Potentilla.gracilis","Androsace.septentrionalis"," 1.110223e-16"
"66","Ranunculus.inamoenus","Androsace.septentrionalis"," 0.000000e+00"
"67","Taraxacum.officinales","Androsace.septentrionalis"," 5.833333e-01"
"68","Valeriana.occidentalis","Androsace.septentrionalis"," 0.000000e+00"
"69","Veratrum.tenuipetalum","Androsace.septentrionalis"," 0.000000e+00"
"70","Achillea.millefolium","Artemisia.tridentata"," 3.333333e-01"
"71","Agoseris.aurantiaca","Artemisia.tridentata"," 0.000000e+00"
"72","Androsace.septentrionalis","Artemisia.tridentata"," 0.000000e+00"
"73","Artemisia.tridentata","Artemisia.tridentata"," 0.000000e+00"
"74","Chrysothamnus.viscidiflorus","Artemisia.tridentata"," 6.428571e-01"
"75","Cirsium.arvense","Artemisia.tridentata"," 1.000000e+00"
"76","Collomia.linearis","Artemisia.tridentata"," 3.676471e-03"
"77","Delphinium.nelsonii","Artemisia.tridentata"," 0.000000e+00"
"78","Erigeron.speciosus","Artemisia.tridentata"," 4.602510e-02"
"79","Eriogonum.umbellatum","Artemisia.tridentata"," 0.000000e+00"
"80","Gayophytum.diffusum","Artemisia.tridentata"," 0.000000e+00"
"81","Geranium.richardsonii","Artemisia.tridentata"," 0.000000e+00"
"82","Lathyrus.leucanthus","Artemisia.tridentata"," 0.000000e+00"
"83","Linaria.vulgaris","Artemisia.tridentata"," 0.000000e+00"
"84","Lupinus.bakeri","Artemisia.tridentata"," 0.000000e+00"
"85","Madia.glomerata","Artemisia.tridentata"," 1.000000e+00"
"86","Mertensia.ciliata","Artemisia.tridentata",NA
"87","Potentilla.fruticosa","Artemisia.tridentata"," 1.822660e-01"
"88","Potentilla.gracilis","Artemisia.tridentata"," 0.000000e+00"
"89","Ranunculus.inamoenus","Artemisia.tridentata"," 0.000000e+00"
"90","Taraxacum.officinales","Artemisia.tridentata"," 0.000000e+00"
"91","Valeriana.occidentalis","Artemisia.tridentata"," 0.000000e+00"
"92","Veratrum.tenuipetalum","Artemisia.tridentata"," 0.000000e+00"
"93","Achillea.millefolium","Chrysothamnus.viscidiflorus"," 6.666667e-01"
"94","Agoseris.aurantiaca","Chrysothamnus.viscidiflorus"," 0.000000e+00"
"95","Androsace.septentrionalis","Chrysothamnus.viscidiflorus"," 0.000000e+00"
"96","Artemisia.tridentata","Chrysothamnus.viscidiflorus"," 6.428571e-01"
"97","Chrysothamnus.viscidiflorus","Chrysothamnus.viscidiflorus"," 0.000000e+00"
"98","Cirsium.arvense","Chrysothamnus.viscidiflorus"," 6.428571e-01"
"99","Collomia.linearis","Chrysothamnus.viscidiflorus"," 3.676471e-03"
"100","Delphinium.nelsonii","Chrysothamnus.viscidiflorus"," 0.000000e+00"
"101","Erigeron.speciosus","Chrysothamnus.viscidiflorus"," 1.087866e-01"
"102","Eriogonum.umbellatum","Chrysothamnus.viscidiflorus"," 0.000000e+00"
"103","Gayophytum.diffusum","Chrysothamnus.viscidiflorus"," 0.000000e+00"
"104","Geranium.richardsonii","Chrysothamnus.viscidiflorus"," 2.352941e-02"
"105","Lathyrus.leucanthus","Chrysothamnus.viscidiflorus"," 0.000000e+00"
"106","Linaria.vulgaris","Chrysothamnus.viscidiflorus"," 3.571429e-01"
"107","Lupinus.bakeri","Chrysothamnus.viscidiflorus"," 0.000000e+00"
"108","Madia.glomerata","Chrysothamnus.viscidiflorus"," 6.428571e-01"
"109","Mertensia.ciliata","Chrysothamnus.viscidiflorus",NA
"110","Potentilla.fruticosa","Chrysothamnus.viscidiflorus"," 3.004926e-01"
"111","Potentilla.gracilis","Chrysothamnus.viscidiflorus"," 0.000000e+00"
"112","Ranunculus.inamoenus","Chrysothamnus.viscidiflorus"," 0.000000e+00"
"113","Taraxacum.officinales","Chrysothamnus.viscidiflorus"," 0.000000e+00"
"114","Valeriana.occidentalis","Chrysothamnus.viscidiflorus"," 0.000000e+00"
"115","Veratrum.tenuipetalum","Chrysothamnus.viscidiflorus"," 0.000000e+00"
"116","Achillea.millefolium","Cirsium.arvense"," 3.333333e-01"
"117","Agoseris.aurantiaca","Cirsium.arvense"," 0.000000e+00"
"118","Androsace.septentrionalis","Cirsium.arvense"," 0.000000e+00"
"119","Artemisia.tridentata","Cirsium.arvense"," 1.000000e+00"
"120","Chrysothamnus.viscidiflorus","Cirsium.arvense"," 6.428571e-01"
"121","Cirsium.arvense","Cirsium.arvense"," 0.000000e+00"
"122","Collomia.linearis","Cirsium.arvense"," 3.676471e-03"
"123","Delphinium.nelsonii","Cirsium.arvense"," 0.000000e+00"
"124","Erigeron.speciosus","Cirsium.arvense"," 4.602510e-02"
"125","Eriogonum.umbellatum","Cirsium.arvense"," 0.000000e+00"
"126","Gayophytum.diffusum","Cirsium.arvense"," 0.000000e+00"
"127","Geranium.richardsonii","Cirsium.arvense"," 0.000000e+00"
"128","Lathyrus.leucanthus","Cirsium.arvense"," 0.000000e+00"
"129","Linaria.vulgaris","Cirsium.arvense"," 0.000000e+00"
"130","Lupinus.bakeri","Cirsium.arvense"," 0.000000e+00"
"131","Madia.glomerata","Cirsium.arvense"," 1.000000e+00"
"132","Mertensia.ciliata","Cirsium.arvense",NA
"133","Potentilla.fruticosa","Cirsium.arvense"," 1.822660e-01"
"134","Potentilla.gracilis","Cirsium.arvense"," 0.000000e+00"
"135","Ranunculus.inamoenus","Cirsium.arvense"," 0.000000e+00"
"136","Taraxacum.officinales","Cirsium.arvense"," 0.000000e+00"
"137","Valeriana.occidentalis","Cirsium.arvense"," 0.000000e+00"
"138","Veratrum.tenuipetalum","Cirsium.arvense"," 0.000000e+00"
"139","Achillea.millefolium","Collomia.linearis"," 8.088235e-02"
"140","Agoseris.aurantiaca","Collomia.linearis"," 7.720588e-02"
"141","Androsace.septentrionalis","Collomia.linearis"," 0.000000e+00"
"142","Artemisia.tridentata","Collomia.linearis"," 3.676471e-03"
"143","Chrysothamnus.viscidiflorus","Collomia.linearis"," 3.676471e-03"
"144","Cirsium.arvense","Collomia.linearis"," 3.676471e-03"
"145","Collomia.linearis","Collomia.linearis"," 0.000000e+00"
"146","Delphinium.nelsonii","Collomia.linearis"," 0.000000e+00"
"147","Erigeron.speciosus","Collomia.linearis"," 1.549194e-01"
"148","Eriogonum.umbellatum","Collomia.linearis"," 3.126362e-01"
"149","Gayophytum.diffusum","Collomia.linearis"," 0.000000e+00"
"150","Geranium.richardsonii","Collomia.linearis"," 5.683824e-01"
"151","Lathyrus.leucanthus","Collomia.linearis"," 1.838235e-01"
"152","Linaria.vulgaris","Collomia.linearis"," 0.000000e+00"
"153","Lupinus.bakeri","Collomia.linearis"," 3.914916e-01"
"154","Madia.glomerata","Collomia.linearis"," 3.676471e-03"
"155","Mertensia.ciliata","Collomia.linearis",NA
"156","Potentilla.fruticosa","Collomia.linearis"," 3.365329e-01"
"157","Potentilla.gracilis","Collomia.linearis"," 6.925134e-01"
"158","Ranunculus.inamoenus","Collomia.linearis"," 3.308824e-02"
"159","Taraxacum.officinales","Collomia.linearis"," 0.000000e+00"
"160","Valeriana.occidentalis","Collomia.linearis"," 0.000000e+00"
"161","Veratrum.tenuipetalum","Collomia.linearis"," 6.985294e-02"
"162","Achillea.millefolium","Delphinium.nelsonii"," 1.110223e-16"
"163","Agoseris.aurantiaca","Delphinium.nelsonii"," 0.000000e+00"
"164","Androsace.septentrionalis","Delphinium.nelsonii"," 0.000000e+00"
"165","Artemisia.tridentata","Delphinium.nelsonii"," 0.000000e+00"
"166","Chrysothamnus.viscidiflorus","Delphinium.nelsonii"," 0.000000e+00"
"167","Cirsium.arvense","Delphinium.nelsonii"," 0.000000e+00"
"168","Collomia.linearis","Delphinium.nelsonii"," 0.000000e+00"
"169","Delphinium.nelsonii","Delphinium.nelsonii"," 0.000000e+00"
"170","Erigeron.speciosus","Delphinium.nelsonii"," 0.000000e+00"
"171","Eriogonum.umbellatum","Delphinium.nelsonii"," 0.000000e+00"
"172","Gayophytum.diffusum","Delphinium.nelsonii"," 0.000000e+00"
"173","Geranium.richardsonii","Delphinium.nelsonii"," 0.000000e+00"
"174","Lathyrus.leucanthus","Delphinium.nelsonii"," 0.000000e+00"
"175","Linaria.vulgaris","Delphinium.nelsonii"," 0.000000e+00"
"176","Lupinus.bakeri","Delphinium.nelsonii"," 1.110223e-16"
"177","Madia.glomerata","Delphinium.nelsonii"," 0.000000e+00"
"178","Mertensia.ciliata","Delphinium.nelsonii",NA
"179","Potentilla.fruticosa","Delphinium.nelsonii","-2.220446e-16"
"180","Potentilla.gracilis","Delphinium.nelsonii"," 1.110223e-16"
"181","Ranunculus.inamoenus","Delphinium.nelsonii"," 7.142857e-01"
"182","Taraxacum.officinales","Delphinium.nelsonii"," 4.166667e-01"
"183","Valeriana.occidentalis","Delphinium.nelsonii"," 1.000000e+00"
"184","Veratrum.tenuipetalum","Delphinium.nelsonii"," 0.000000e+00"
"185","Achillea.millefolium","Erigeron.speciosus"," 2.594142e-01"
"186","Agoseris.aurantiaca","Erigeron.speciosus"," 1.506276e-01"
"187","Androsace.septentrionalis","Erigeron.speciosus"," 0.000000e+00"
"188","Artemisia.tridentata","Erigeron.speciosus"," 4.602510e-02"
"189","Chrysothamnus.viscidiflorus","Erigeron.speciosus"," 1.087866e-01"
"190","Cirsium.arvense","Erigeron.speciosus"," 4.602510e-02"
"191","Collomia.linearis","Erigeron.speciosus"," 1.549194e-01"
"192","Delphinium.nelsonii","Erigeron.speciosus"," 0.000000e+00"
"193","Erigeron.speciosus","Erigeron.speciosus"," 0.000000e+00"
"194","Eriogonum.umbellatum","Erigeron.speciosus"," 1.548117e-01"
"195","Gayophytum.diffusum","Erigeron.speciosus"," 3.933054e-01"
"196","Geranium.richardsonii","Erigeron.speciosus"," 3.195176e-01"
"197","Lathyrus.leucanthus","Erigeron.speciosus"," 0.000000e+00"
"198","Linaria.vulgaris","Erigeron.speciosus"," 6.276151e-02"
"199","Lupinus.bakeri","Erigeron.speciosus"," 8.989839e-02"
"200","Madia.glomerata","Erigeron.speciosus"," 4.602510e-02"
"201","Mertensia.ciliata","Erigeron.speciosus",NA
"202","Potentilla.fruticosa","Erigeron.speciosus"," 5.591648e-01"
"203","Potentilla.gracilis","Erigeron.speciosus"," 4.587296e-01"
"204","Ranunculus.inamoenus","Erigeron.speciosus"," 0.000000e+00"
"205","Taraxacum.officinales","Erigeron.speciosus"," 0.000000e+00"
"206","Valeriana.occidentalis","Erigeron.speciosus"," 0.000000e+00"
"207","Veratrum.tenuipetalum","Erigeron.speciosus"," 3.430962e-01"
"208","Achillea.millefolium","Eriogonum.umbellatum"," 3.333333e-01"
"209","Agoseris.aurantiaca","Eriogonum.umbellatum"," 4.814815e-01"
"210","Androsace.septentrionalis","Eriogonum.umbellatum"," 0.000000e+00"
"211","Artemisia.tridentata","Eriogonum.umbellatum"," 0.000000e+00"
"212","Chrysothamnus.viscidiflorus","Eriogonum.umbellatum"," 0.000000e+00"
"213","Cirsium.arvense","Eriogonum.umbellatum"," 0.000000e+00"
"214","Collomia.linearis","Eriogonum.umbellatum"," 3.126362e-01"
"215","Delphinium.nelsonii","Eriogonum.umbellatum"," 0.000000e+00"
"216","Erigeron.speciosus","Eriogonum.umbellatum"," 1.548117e-01"
"217","Eriogonum.umbellatum","Eriogonum.umbellatum"," 0.000000e+00"
"218","Gayophytum.diffusum","Eriogonum.umbellatum"," 0.000000e+00"
"219","Geranium.richardsonii","Eriogonum.umbellatum"," 5.379085e-01"
"220","Lathyrus.leucanthus","Eriogonum.umbellatum"," 4.629630e-01"
"221","Linaria.vulgaris","Eriogonum.umbellatum"," 0.000000e+00"
"222","Lupinus.bakeri","Eriogonum.umbellatum"," 2.756614e-01"
"223","Madia.glomerata","Eriogonum.umbellatum"," 0.000000e+00"
"224","Mertensia.ciliata","Eriogonum.umbellatum",NA
"225","Potentilla.fruticosa","Eriogonum.umbellatum"," 2.969349e-01"
"226","Potentilla.gracilis","Eriogonum.umbellatum"," 2.912458e-01"
"227","Ranunculus.inamoenus","Eriogonum.umbellatum"," 3.703704e-02"
"228","Taraxacum.officinales","Eriogonum.umbellatum"," 0.000000e+00"
"229","Valeriana.occidentalis","Eriogonum.umbellatum"," 0.000000e+00"
"230","Veratrum.tenuipetalum","Eriogonum.umbellatum"," 0.000000e+00"
"231","Achillea.millefolium","Gayophytum.diffusum"," 1.110223e-16"
"232","Agoseris.aurantiaca","Gayophytum.diffusum"," 0.000000e+00"
"233","Androsace.septentrionalis","Gayophytum.diffusum"," 0.000000e+00"
"234","Artemisia.tridentata","Gayophytum.diffusum"," 0.000000e+00"
"235","Chrysothamnus.viscidiflorus","Gayophytum.diffusum"," 0.000000e+00"
"236","Cirsium.arvense","Gayophytum.diffusum"," 0.000000e+00"
"237","Collomia.linearis","Gayophytum.diffusum"," 0.000000e+00"
"238","Delphinium.nelsonii","Gayophytum.diffusum"," 0.000000e+00"
"239","Erigeron.speciosus","Gayophytum.diffusum"," 3.933054e-01"
"240","Eriogonum.umbellatum","Gayophytum.diffusum"," 0.000000e+00"
"241","Gayophytum.diffusum","Gayophytum.diffusum"," 0.000000e+00"
"242","Geranium.richardsonii","Gayophytum.diffusum"," 1.764706e-02"
"243","Lathyrus.leucanthus","Gayophytum.diffusum"," 0.000000e+00"
"244","Linaria.vulgaris","Gayophytum.diffusum"," 0.000000e+00"
"245","Lupinus.bakeri","Gayophytum.diffusum"," 0.000000e+00"
"246","Madia.glomerata","Gayophytum.diffusum"," 0.000000e+00"
"247","Mertensia.ciliata","Gayophytum.diffusum",NA
"248","Potentilla.fruticosa","Gayophytum.diffusum"," 2.118227e-01"
"249","Potentilla.gracilis","Gayophytum.diffusum"," 2.272727e-02"
"250","Ranunculus.inamoenus","Gayophytum.diffusum"," 0.000000e+00"
"251","Taraxacum.officinales","Gayophytum.diffusum"," 0.000000e+00"
"252","Valeriana.occidentalis","Gayophytum.diffusum"," 0.000000e+00"
"253","Veratrum.tenuipetalum","Gayophytum.diffusum"," 0.000000e+00"
"254","Achillea.millefolium","Geranium.richardsonii"," 3.568627e-01"
"255","Agoseris.aurantiaca","Geranium.richardsonii"," 3.764706e-01"
"256","Androsace.septentrionalis","Geranium.richardsonii"," 1.176471e-02"
"257","Artemisia.tridentata","Geranium.richardsonii"," 0.000000e+00"
"258","Chrysothamnus.viscidiflorus","Geranium.richardsonii"," 2.352941e-02"
"259","Cirsium.arvense","Geranium.richardsonii"," 0.000000e+00"
"260","Collomia.linearis","Geranium.richardsonii"," 5.683824e-01"
