Agoseris_glauca,Aquilegia_coerulea,Boechera_stricta,Castilleja_sulphurea,Claytonia_lanceolata,Collomia_linearis,Erigeron_speciosus,Erythronium_grandiflorum,Eucephalus_engelmannii,Helianthella_quinquenervis,Heliomeris_multiflora,Hydrophyllum_capitatum,Lathyrus_leucanthus,Ligusticum_porteri,Mertensia_ciliata,Osmorhiza_occidentalis,Dasiphora_fruticosa,Potentilla_gracilis,Ranunculus_inamoenus,Senecio_crassulus,Senecio_serra,Thalictrum_fendleri,Vicia_americana,Viola_nuttalli
0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
0,0,1,0,0,0,0,0,0,0,0,0,0,11,1,4,0,0,0,0,0,11,0,103
0,0,0,0,0,0,0,0,0,0,0,20,1,21,12,6,0,2,0,0,0,16,0,0
0,2,0,2,0,0,0,0,0,0,0,3,4,27,26,0,0,5,0,0,0,19,0,0
0,0,0,11,0,0,0,0,0,8,0,0,2,15,3,0,0,36,0,32,0,0,7,0
0,0,0,0,0,0,1,0,0,36,0,0,0,47,0,0,0,40,0,76,0,0,0,0
0,0,0,4,0,0,13,0,0,30,4,0,0,0,0,0,0,3,0,0,8,0,0,0
1,0,0,3,0,0,40,0,0,4,22,0,0,0,0,0,0,4,0,0,8,0,0,0
2,0,0,0,0,0,23,0,16,0,71,0,0,0,0,0,0,0,0,0,17,0,0,0