Achillea_millefolium,Androsace_septentrionalis,Artemisia_tridentata,Cirsium_arvense ,Collomia_linearis,Dasiphora_fruticosa,Delphinium_nuttalliianum,Ericameria_nauseosa,Erigeron_speciosus,Gayophytum_diffusum,Gayophytum_spp,Geranium_richardsonii,Geum_trifolium ,Hymenoxys_hoopesii,Lathyrus_leucanthus,Lupinus_bakeri,Mertensia_brevistyla,Noccaea_fendleri,Potentilla_gracilis,Primula_pauciflora,Ranunculus_alismifolius,Senecio_interrigrimus ,Taraxacum_officional,Tragopogon_dubius,Valeriana_occidentalis,Viola_nuttalliii
0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,1,1,0,0,19,0,5,0,130,1
0,0,0,0,0,0,10,0,0,0,0,0,1,0,0,41,0,0,0,1,4,1,1,0,4,0
0,0,0,0,0,20,1,0,0,0,0,5,0,0,0,24,0,0,0,0,0,1,0,0,1,0
0,0,0,0,1,9,0,0,0,0,0,6,0,1,1,7,0,0,1,0,0,0,0,0,0,0
0,1,0,0,25,9,0,0,0,13,0,9,0,1,0,2,0,0,1,0,0,0,0,0,0,0
0,2,0,0,105,13,0,0,0,0,11,6,0,3,0,0,0,0,4,0,0,0,0,1,0,0
0,0,0,0,9,20,0,0,1,0,21,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0
2,0,0,0,0,31,0,4,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,33,0,13,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,17,4,0,14,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0