Agoseris_glauca,Aquilegia_coerulea,Boechera_stricta,Castilleja_sulphurea,Claytonia_lanceolata ,Delphinium_barbeyi,Erigeron_speciosus,Erythronium_grandiflorum,Helianthella_quinquenervis,Heliomeris_multiflora,Hydrophyllum_capitatum,Hydrophyllum_fendleri,Lathyrus_leucanthus,Ligusticum_porteri,Lupinus_spp,Mertensia_brevistyla,Mertensia_ciliata,Potentilla_gracilis,Ribes_montigenum,Senecio_crassulus,Thalictrum_fendleri,Vicia_americana,Viola_nuttallii
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,8,0,0,0,11
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,1,0,0,0,0,0,0,0,0,3,0,22,19,0,0,1,0,0,1,10,4,0
0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,0,4,0,0,24,0,2,0
0,0,0,0,0,1,0,0,6,0,0,0,6,5,0,0,3,19,0,31,0,1,0
1,0,0,2,0,6,142,0,8,1,0,0,0,0,0,0,3,9,0,25,0,0,0
1,0,0,0,0,0,40,0,2,30,0,0,0,0,0,0,0,3,0,2,0,0,0
0,0,0,0,0,0,56,0,0,40,0,0,0,0,0,0,0,0,0,0,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0